7127924100|"F/EXP AMERICAN SALAD"|" 14   Z"|0|4.49|1|4.35|1|4.35|" "|" "|401|3615|" "
7127922102|"F/EXP LEAFY GRN ROMAINE"|"  9   Z"|0|4.49|1|4.35|1|4.35|" "|" "|401|3615|" "
3338365325|"CELERY DOLE SLEEVE"|"   1  E"|1|2.79|1|2.49|1|2.19|" "|" "|401|7311|" "
3338365162|"ROMAINE HEARTS PKG"|" 36   Z"|1|4.49|0|3.99|0|3.99|" "|" "|401|7312|" "
3338380100|"PKG ARUGULA"|"  3.4 Z"|0|3.99|0|3.79|0|3.79|" "|" "|401|3614|" "
79112020040|"ORG BAG ONIONS"|" 48   Z"|0|4.79|1|4.45|1|4.69|" "|" "|401|7200|" "
71575610001|"RASPBERRIES"|"  6   Z"|0|3.99|0|3.59|0|3.59|" "|" "|401|2903|" "
4227200020|"AMY POT PIE VEG"|"  8   Z"|1|4.95|1|4.39|1|4.19|" "|" "|701|3150|" "
4227200021|"AMY POT PIE BROCC"|"  8   Z"|1|4.95|1|4.39|1|4.19|" "|" "|701|3150|" "
4227200023|"AMY POT PIE SHEPPARDS"|"  8   Z"|1|4.95|1|4.39|1|4.19|" "|" "|701|3150|" "
4227200030|"AMY MAC&CHEESE"|"  9   Z"|1|3.99|1|3.99|1|3.99|" "|" "|701|3150|" "
4227200032|"AMY LASAGNA VEG"|"  9.5 Z"|1|5.99|1|5.85|1|5.99|" "|" "|701|3150|" "
4227200070|"AMY RICE/BN BURRITO"|"  6   Z"|1|3.29|1|3.29|1|3.29|" "|" "|704|3150|" "
4227200071|"AMY BURRITO CHS BEAN"|"  6   Z"|1|3.29|1|3.29|1|3.29|" "|" "|704|3150|" "
4227200080|"AMY ENCHILADA CHS"|"  9.5 Z"|1|5.39|1|5.29|1|5.29|" "|" "|701|3150|" "
4227200081|"AMY ENCHILADA BLK BN"|"  9   Z"|1|5.39|1|5.29|1|5.29|" "|" "|701|3150|" "
7047565668|"MUSHRM VARIETY PKG"|"  8   Z"|0|4.99|1|4.89|1|4.89|" "|" "|401|2916|" "
3338367601|"MUSHRM SLCD PORTABELLA"|"  6   Z"|0|4.59|0|4.59|1|4.49|" "|" "|401|2916|" "
5166613467|"TOMATO CHRY ON VINE BAG"|" 12   Z"|0|4.59|1|4.19|0|3.99|" "|" "|401|2914|" "
7127930101|"F/EXP FT FREE CEASAR"|" 12   Z"|0|4.49|1|4.35|1|4.35|" "|" "|401|3615|" "
3338390405|"ORG CAULIFLOWER"|"   1  E"|0|4.59|1|4.19|0|3.99|" "|" "|401|7200|" "
74110201332|"ORG ROMAINE HEARTS"|" 12   Z"|0|4.99|0|4.99|1|4.85|" "|" "|401|7200|" "
7087301080|"PEELED GARLIC 8.OZ"|"  8   Z"|0|3.99|1|3.89|1|3.89|" "|" "|401|7318|" "
20401300000|"STRAWBERRY PINT"|" 10   Z"|0|2.99|0|2.99|0|2.99|" "|" "|401|2903|" "
3338370133|"CORN BI-COLOR PKG"|" 20   Z"|0|4.99|0|4.99|0|4.99|" "|" "|401|7311|" "
3338324000|"BLACKBERRIES"|"  5   Z"|0|2.99|0|2.49|0|2.49|" "|" "|401|2903|" "
4175609006|"DOLCI FRUTTA"|"  6   Z"|0|2.99|0|2.99|0|2.99|" "|" "|401|2915|" "
3338370131|"CORN WHITE PKG"|"  4   Z"|0|4.99|0|4.99|0|4.99|" "|" "|401|7311|" "
7523400164|"BROCCO-SLAW"|" 12   Z"|0|3.49|0|3.49|0|3.49|" "|" "|401|3614|" "
7196220531|"FRUIT SALAD CUP"|" 10   Z"|0|3.99|0|3.99|0|3.99|" "|" "|401|3930|" "
2018801301|"TOFUTTI CUTIE VANILLA"|" 12   L"|1|6.19|1|5.99|1|6.19|" "|" "|712|3400|" "
7774500200|"RP LAFAYETTE SALAD"|"  7   Z"|0|4.49|1|4.35|0|4.29|" "|" "|401|3616|" "
7774500203|"RP SANTA BARBARA SALAD"|"  7   Z"|0|4.49|1|4.35|0|4.29|" "|" "|401|3616|" "
7127923100|"F/EXP SPRING MIX"|"  5   Z"|0|4.49|1|4.35|1|4.35|" "|" "|401|3615|" "
9830410025|"CV CAESAR CROUTONS"|"  5   Z"|0|2.99|0|2.99|1|2.89|" "|" "|401|2922|" "
9830410048|"CV GARLIC&ONION"|"  5   Z"|0|2.99|0|2.99|1|2.89|" "|" "|401|2922|" "
9830410046|"CV CHEESE&GARLIC"|"  5   Z"|0|2.99|0|2.99|1|2.89|" "|" "|401|2922|" "
72492310100|"MACY CHSESTICK-ORIGINAL"|"  4   Z"|0|3.99|0|3.99|0|3.99|" "|" "|501|9091|" "
72492310500|"MACY SAVORY SWISS STIX"|"  4   Z"|0|3.99|0|3.99|0|3.99|" "|" "|501|9091|" "
5208311010|"STEF SAU/PEP/CHS BREAD"|" 15   Z"|1|5.99|1|5.99|1|5.99|" "|" "|501|9006|" "
